Category,BugID,MutationRate,PopulationSize,Iteration,Time,Generation,Solution,Status
Math,84,0.5,1,1,,,,
Math,85,0.5,1,1,,,,
Math,95,0.5,1,1,1543.656,107,Found,STOP_BY_PATCH_FOUND
Math,71,0.5,20,1,,,,
Math,73,0.5,20,1,,,,
Math,78,0.5,20,1,,,,
Math,80,0.5,20,1,8765.661,5,NOT_Found,TIME_OUT
Math,81,0.5,20,1,7399.946,1,Found,STOP_BY_PATCH_FOUND
Math,82,0.5,20,1,6749.845,13,NOT_Found,TIME_OUT
Math,84,0.5,20,1,,,,
Math,85,0.5,20,1,,,,
Math,95,0.5,20,1,,,,
Math,71,0.5,80,1,,,,
Math,73,0.5,80,1,,,,
Math,78,0.5,80,1,,,,
Math,80,0.5,80,1,,,,
Math,81,0.5,80,1,,,,
Math,82,0.5,80,1,,,,
Math,84,0.5,80,1,,,,
Math,85,0.5,80,1,,,,
Math,95,0.5,80,1,,,,
Math,71,0.5,240,1,,,,
Math,73,0.5,240,1,,,,
Math,78,0.5,240,1,,,,
Math,80,0.5,240,1,,,,
Math,81,0.5,240,1,,,,
Math,82,0.5,240,1,,,,
Math,84,0.5,240,1,,,,
Math,85,0.5,240,1,,,,
Math,95,0.5,240,1,,,,
Math,71,0.5,720,1,,,,
Math,73,0.5,720,1,,,,
Math,78,0.5,720,1,,,,
Math,80,0.5,720,1,,,,
Math,81,0.5,720,1,,,,
Math,82,0.5,720,1,,,,
Math,84,0.5,720,1,,,,
Math,85,0.5,720,1,,,,
Math,95,0.5,720,1,,,,
Math,71,0.25,1,1,,,,
Math,73,0.25,1,1,,,,
Math,78,0.25,1,1,,,,
Math,80,0.25,1,1,,,,
Math,81,0.25,1,1,,,,
Math,82,0.25,1,1,6475.144,200,NOT_Found,MAX_GENERATION
Math,84,0.25,1,1,,,,
Math,85,0.25,1,1,,,,
Math,95,0.25,1,1,2200.082,200,NOT_Found,MAX_GENERATION
Math,71,0.25,20,1,4881.233,4,NOT_Found,TIME_OUT
Math,73,0.25,20,1,,,,
Math,78,0.25,20,1,,,,
Math,80,0.25,20,1,,,,
Math,81,0.25,20,1,,,,
Math,82,0.25,20,1,,,,
Math,84,0.25,20,1,,,,
Math,85,0.25,20,1,,,,
Math,95,0.25,20,1,,,,
Math,71,0.25,80,1,,,,
Math,73,0.25,80,1,2142.87,1,Found,STOP_BY_PATCH_FOUND
Math,78,0.25,80,1,,,,
Math,80,0.25,80,1,,,,
Math,81,0.25,80,1,,,,
Math,82,0.25,80,1,,,,
Math,84,0.25,80,1,,,,
Math,85,0.25,80,1,,,,
Math,95,0.25,80,1,,,,
Math,71,0.25,240,1,,,,
Math,73,0.25,240,1,,,,
Math,78,0.25,240,1,,,,
Math,80,0.25,240,1,,,,
Math,81,0.25,240,1,,,,
Math,82,0.25,240,1,,,,
Math,84,0.25,240,1,,,,
Math,85,0.25,240,1,,,,
Math,95,0.25,240,1,,,,
Math,71,0.25,720,1,,,,
Math,73,0.25,720,1,,,,
Math,78,0.25,720,1,,,,
Math,80,0.25,720,1,,,,
Math,81,0.25,720,1,,,,
Math,82,0.25,720,1,,,,
Math,84,0.25,720,1,,,,
Math,85,0.25,720,1,,,,
Math,95,0.25,720,1,,,,
Math,71,1,1,1,1437.537,95,Found,STOP_BY_PATCH_FOUND
Math,73,1,1,1,420.111,68,Found,STOP_BY_PATCH_FOUND
Math,78,1,1,1,643.239,200,NOT_Found,MAX_GENERATION
Math,80,1,1,1,1371.981,66,Found,STOP_BY_PATCH_FOUND
Math,81,1,1,1,1306.373,10,Found,STOP_BY_PATCH_FOUND
Math,82,1,1,1,1627.032,200,NOT_Found,MAX_GENERATION
Math,84,1,1,1,1764.249,200,NOT_Found,MAX_GENERATION
Math,85,1,1,1,581.108,13,Found,STOP_BY_PATCH_FOUND
Math,95,1,1,1,597.05,107,Found,STOP_BY_PATCH_FOUND
Math,71,1,20,1,3058.064,8,NOT_Found,TIME_OUT
Math,73,1,20,1,789.104,4,Found,STOP_BY_PATCH_FOUND
Math,78,1,20,1,5818.224,19,NOT_Found,TIME_OUT
Math,80,1,20,1,3505.49,4,Found,STOP_BY_PATCH_FOUND
Math,81,1,20,1,3415.206,1,Found,STOP_BY_PATCH_FOUND
Math,82,1,20,1,4042.634,22,NOT_Found,TIME_OUT
Math,84,1,20,1,2580.165,10,NOT_Found,TIME_OUT
Math,85,1,20,1,937.498,1,Found,STOP_BY_PATCH_FOUND
Math,95,1,20,1,1036.965,6,Found,STOP_BY_PATCH_FOUND
Math,71,1,80,1,4176.053,1,NOT_Found,TIME_OUT
Math,73,1,80,1,1154.705,1,Found,STOP_BY_PATCH_FOUND
Math,78,1,80,1,9539.362,5,NOT_Found,TIME_OUT
Math,80,1,80,1,10852.835,1,Found,STOP_BY_PATCH_FOUND
